,"4, 0"
0,"['XTZUSDT', 'TOMOUSDT']"
1,"['ALGOUSDT', 'DEFIUSDT', 'TOMOUSDT', 'HBARUSDT', 'BTCDOMUSDT', 'BNXUSDT']"
2,"['ALGOUSDT', 'KSMUSDT', 'CHZUSDT', 'HBARUSDT']"
3,"['ALGOUSDT', 'KSMUSDT']"
4,[]
5,[]
6,"['MANAUSDT', 'BTCDOMUSDT', 'KLAYUSDT', 'BNXUSDT']"
7,['DODOBUSD']
8,[]
9,[]
10,[]
11,[]
12,"['DASHUSDT', 'ATOMUSDT', 'KAVAUSDT', 'DOTUSDT', 'CELRUSDT']"
13,[]
14,['DOGEUSDT']
15,[]
16,"['BTCUSDT', 'TRXUSDT', 'BTCDOMUSDT', 'BNXUSDT']"
17,"['BTCUSDT', 'TRXUSDT', 'BALUSDT', 'EGLDUSDT', 'CTKUSDT', 'BTCDOMUSDT', 'BNXUSDT']"
18,"['BTCUSDT', 'XRPUSDT', 'TRXUSDT', 'DASHUSDT', 'EGLDUSDT', 'XEMUSDT', 'MTLUSDT', 'BTCDOMUSDT', 'BNXUSDT']"
19,"['XRPUSDT', 'XMRUSDT', 'DASHUSDT', 'EGLDUSDT', 'BTCDOMUSDT']"
20,[]
21,"['TRXUSDT', 'ADAUSDT', 'XMRUSDT', 'ONTUSDT', 'OCEANUSDT', 'BTCDOMUSDT', 'BNXUSDT']"
22,"['ADAUSDT', 'XMRUSDT', 'ALGOUSDT', 'NEARUSDT', 'BNXUSDT']"
23,"['ADAUSDT', 'NEARUSDT', 'MATICUSDT']"
24,"['NEOUSDT', 'SOLUSDT', 'COTIUSDT']"
25,"['GRTUSDT', 'CTSIUSDT']"
26,"['XRPUSDT', 'XLMUSDT', 'ALGOUSDT', 'COTIUSDT', 'BTCDOMUSDT', 'CTSIUSDT']"
27,"['TRXUSDT', 'XLMUSDT', 'BTCDOMUSDT']"
28,"['BTCUSDT', 'TRXUSDT', 'XMRUSDT', 'ALGOUSDT', 'EGLDUSDT', 'DODOBUSD']"
29,"['TRXUSDT', 'XMRUSDT', 'HOTUSDT', 'DODOBUSD']"
30,"['HOTUSDT', 'DODOBUSD']"
31,"['MKRUSDT', 'FLMUSDT']"
32,"['DEFIUSDT', '1000XECUSDT']"
33,"['ZECUSDT', 'SFPUSDT', '1000XECUSDT']"
34,['API3USDT']
35,[]
36,"['TRXUSDT', 'BNXUSDT']"
37,"['DASHUSDT', 'IOSTUSDT', 'BTCDOMUSDT', 'BNXUSDT']"
38,"['BTCUSDT', 'XMRUSDT', 'DASHUSDT', 'IOSTUSDT', 'BALUSDT', 'ALPHAUSDT', 'HOTUSDT', 'BTCDOMUSDT', 'BNXUSDT']"
39,"['BTCUSDT', 'DASHUSDT', 'DOTUSDT', 'SFPUSDT', 'HOTUSDT', 'BTCDOMUSDT']"
40,"['XMRUSDT', 'BALUSDT', 'SFPUSDT']"
41,"['ZECUSDT', 'TOMOUSDT', 'RENUSDT', 'BTCDOMUSDT', 'ARUSDT', 'ROSEUSDT']"
42,"['ETHUSDT', 'LTCUSDT', 'LINAUSDT', 'ATAUSDT']"
43,"['BTCUSDT', 'ATAUSDT']"
44,['THETAUSDT']
45,[]
46,['EGLDUSDT']
47,[]
48,[]
49,"['BCHUSDT', 'LTCUSDT', 'XLMUSDT', 'XMRUSDT', 'IOTAUSDT', 'VETUSDT', 'DOTUSDT', 'CTKUSDT', '1INCHUSDT', 'BTCDOMUSDT', 'BNXUSDT']"
50,"['BTCUSDT', 'BCHUSDT', 'TRXUSDT', 'ADAUSDT', 'XMRUSDT', 'DASHUSDT', 'IOTAUSDT', 'VETUSDT', 'DOTUSDT', 'CTKUSDT', '1INCHUSDT', 'HBARUSDT', 'BTCDOMUSDT', 'BNXUSDT']"
51,"['BCHUSDT', 'XRPUSDT', 'TRXUSDT', 'ADAUSDT', 'XMRUSDT', 'IOTAUSDT', 'DOTUSDT', 'EGLDUSDT', 'UNIUSDT', 'CTKUSDT', '1INCHUSDT', 'HBARUSDT', 'BTCDOMUSDT', 'BNXUSDT']"
52,"['XRPUSDT', 'XMRUSDT', 'ZECUSDT', 'BNXUSDT']"
53,"['ZRXUSDT', 'RUNEUSDT', 'STORJUSDT', 'BELUSDT', 'LPTUSDT', 'BNXUSDT']"
54,"['BCHUSDT', 'XMRUSDT', 'DASHUSDT', 'TOMOUSDT', '1INCHUSDT', 'STMXUSDT', 'BTCDOMUSDT']"
55,"['TRXUSDT', 'ZILUSDT']"
56,"['THETAUSDT', 'BANDUSDT', 'AAVEUSDT', 'API3USDT']"
57,[]
58,[]
59,['KAVAUSDT']
60,"['XMRUSDT', 'BTCDOMUSDT']"
61,"['TRXUSDT', 'XMRUSDT', 'RUNEUSDT', 'HOTUSDT', 'BTCDOMUSDT']"
62,"['TRXUSDT', 'XMRUSDT', 'BTCDOMUSDT']"
63,"['BTCUSDT', 'ZECUSDT', 'ONTUSDT', 'ZRXUSDT', 'FLMUSDT', 'BTCDOMUSDT']"
64,"['BTCUSDT', 'XRPUSDT', 'XMRUSDT', 'ZECUSDT', 'BALUSDT', 'DENTUSDT', 'HOTUSDT']"
65,"['BTCUSDT', 'ETHUSDT', 'TRXUSDT', 'XMRUSDT', 'ZECUSDT', 'THETAUSDT', 'MKRUSDT', 'BALUSDT', 'RUNEUSDT', 'RVNUSDT', 'BTCDOMUSDT']"
66,"['BTCUSDT', 'ETHUSDT', 'BCHUSDT', 'XRPUSDT', 'TRXUSDT', 'XLMUSDT', 'XMRUSDT', 'ATOMUSDT', 'MKRUSDT', 'RUNEUSDT', 'CTKUSDT', 'RVNUSDT', 'HBARUSDT', 'NKNUSDT', 'BTCDOMUSDT']"
67,"['BTCUSDT', 'ETHUSDT', 'LTCUSDT', 'XMRUSDT', 'ATOMUSDT', 'IOTAUSDT', 'RUNEUSDT', 'CTKUSDT', 'HBARUSDT', 'NKNUSDT']"
68,"['ATOMUSDT', 'IOTAUSDT', 'SXPUSDT', 'KSMUSDT', 'CTKUSDT', 'DUSKUSDT', 'WOOUSDT']"
69,"['BTCUSDT', 'XMRUSDT', 'ATOMUSDT', 'IOTAUSDT', 'KSMUSDT', 'CTKUSDT', 'CHRUSDT', 'BTCDOMUSDT', 'DUSKUSDT', 'APEUSDT', 'WOOUSDT']"
70,"['XMRUSDT', 'UNIUSDT', 'IOTXUSDT', 'AUDIOUSDT', 'ARPAUSDT']"
71,"['FLMUSDT', 'CHRUSDT', 'CELOUSDT', 'CTSIUSDT', 'WOOUSDT']"
72,[]
73,[]
74,[]
75,['ENJUSDT']
76,['ENJUSDT']
77,['HBARUSDT']
78,[]
79,[]
80,[]
81,[]
82,[]
83,[]
84,[]
85,[]
86,"['TRXUSDT', 'BTCDOMUSDT', 'BNXUSDT']"
87,"['TRXUSDT', 'BTCDOMUSDT', 'BNXUSDT']"
88,"['TRXUSDT', 'BTCDOMUSDT', 'KLAYUSDT']"
89,[]
90,[]
